funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg
rastrigin,un_punto,10,100,1000,14,56,0.00023785986834923278,40.38992664983844,9.422896063481023,1.7137699830000201
rastrigin,uniforme,10,100,1000,14,56,0.00028120573088585843,40.770647348825314,9.93827517475796,2.0208535600004325
rastrigin,blx,10,100,1000,14,56,6.870948254800169e-10,51.67103321161559,8.716330894251948,1.9683192009997583
rastrigin,sbx,10,100,1000,14,56,0.0001179268398630029,33.6165134545963,8.534052447860605,1.9464663240000846
rosenbrock,un_punto,10,100,1000,14,56,7.666582456317187,92.7771287033496,25.651153645164968,1.7100942199999736
rosenbrock,uniforme,10,100,1000,14,56,6.7583457334676424,94.57275680619027,23.382970237324102,2.009513868999875
rosenbrock,blx,10,100,1000,14,56,4.344025711926021,157.04996351877824,38.15828115052126,1.991346252999847
rosenbrock,sbx,10,100,1000,14,56,9.041539098996642,68.70401725131688,25.938649016334008,1.9607265120002921
sphere,un_punto,10,100,1000,15,57,2.660644984726071e-06,1.7801025941007478,0.3802287156028122,1.1187163120002879
sphere,uniforme,10,100,1000,15,57,1.577790604424316e-06,1.6157701514067522,0.3048487122069032,1.4295093840000845
sphere,blx,10,100,1000,15,57,2.7615999378778003e-10,1.3411358885706683,0.3089916078129224,1.384416298999895
sphere,sbx,10,100,1000,15,57,1.4853702927948072e-08,1.6064122227649722,0.3629706738014336,1.3615182420003293
rastrigin,un_punto,10,100,1000,15,57,0.00030044145596264116,42.00683863250534,10.364518351322813,1.7052309410000817
rastrigin,uniforme,10,100,1000,15,57,0.00024231514797179443,51.331138378409364,10.084592904562646,2.0079897159998836
rastrigin,blx,10,100,1000,15,57,6.660769713562331e-10,41.76856118402665,8.757911985794362,1.972810225000103
rastrigin,sbx,10,100,1000,15,57,0.00019901026531954358,46.03597424648804,8.952296873808992,1.9321388799999113
rosenbrock,un_punto,10,100,1000,15,57,6.0056206919705,89.08385152510101,24.411384028013703,1.7179125689999637
rosenbrock,uniforme,10,100,1000,15,57,6.295811194734853,91.12040328764904,24.890321890784612,2.012975706999896
rosenbrock,blx,10,100,1000,15,57,7.062946193352078,100.60882962598257,35.13492927948444,1.9765206289998787
rosenbrock,sbx,10,100,1000,15,57,5.63789565241369,81.21783920708296,19.62519952350893,1.9638200750000578
sphere,un_punto,10,100,1000,16,58,5.37032881503013e-07,1.5421781687117089,0.3346604905216665,1.117281346999789
sphere,uniforme,10,100,1000,16,58,6.180528558152197e-07,1.6261936179851417,0.2535532372708207,1.4197934409999107
sphere,blx,10,100,1000,16,58,3.3419075100407287e-10,1.7467091061181372,0.36244343924479017,1.38424972599978
sphere,sbx,10,100,1000,16,58,9.116154346182019e-08,1.4830540582142544,0.2542239230888493,1.3532253909997962
rastrigin,un_punto,10,100,1000,16,58,0.00016203412128845684,46.67193259125926,11.592335019216033,1.728668523000124
rastrigin,uniforme,10,100,1000,16,58,0.000555017497546828,48.826478765872004,8.10903352700986,1.996367864000149
rastrigin,blx,10,100,1000,16,58,1.8282975133843138e-09,42.04549798581855,10.905465549470513,1.9942513149999286
rastrigin,sbx,10,100,1000,16,58,0.0001180598613359507,38.54840044355069,8.926928132429493,1.9551900280002883
rosenbrock,un_punto,10,100,1000,16,58,6.458331522098275,67.69525676661122,23.984594159126864,1.717280923999624
rosenbrock,uniforme,10,100,1000,16,58,6.624035895026361,64.36680186648444,19.238180904358117,2.0193080539997936
rosenbrock,blx,10,100,1000,16,58,7.365505755492818,98.10522050555508,29.88635909711471,2.0391165529999853
rosenbrock,sbx,10,100,1000,16,58,5.873881235922375,92.59548690130566,23.789633222225888,1.972805039999912
sphere,un_punto,10,100,1000,17,59,3.009270018565991e-06,1.6867086999256424,0.4244360105805785,1.1412160219997531
sphere,uniforme,10,100,1000,17,59,1.3246584235901328e-06,2.0654341223940773,0.40867673479989797,1.4320944379996945
sphere,blx,10,100,1000,17,59,5.487941019092072e-10,1.7729350513778144,0.2502153404264712,1.3980176139998548
sphere,sbx,10,100,1000,17,59,9.686915973915966e-08,1.6254721143884054,0.35355517035977185,1.3658181959999638
rastrigin,un_punto,10,100,1000,17,59,0.0005477167362641921,46.985310264674574,11.698929746511176,1.7045425380001689
